region,cs,freq,ml,el,wc,tweet,author,lat,lon,Cebu,34.75%,2148, Dumaguete,7.67%,474, Davao,27.64%,1709, CDO,29.94%,1851,6182
o,,,,,1, jgh, IamSophiaRuiz,8.460496,124.617902,,,,,,,,,,,,,
o,,,,,1, Wtf., behappyfaith,8.493407,124.604292,,,,,,,,,,,,,
o,,,,,1, Pagaw :(, ohsnapitzapril1,8.425879,124.604004,,,,,,,,,,,,,
o,,,,,1, Vacay, Thisisvanrose,8.240424,124.243809,,,,,,,,,,,,,
o,,,,,1, hahahaha!, aleksandr_lim,8.925897,125.005847,,,,,,,,,,,,,
c,,,,,1, Cutiieeeeees, jensenafrans,10.385757,123.916294,,,,,,,,,,,,,
v,,,,,1, Migraine, iannetheyummy,7.053192,125.563267,,,,,,,,,,,,,
v,,,,,1, Bahoa!!!, Babyubs,7.316806,125.689393,,,,,,,,,,,,,
d,,,,,1, *ani, reginebenedicte,9.515006,123.159513,,,,,,,,,,,,,
d,,,,,1, @saintwa2x :), lieceljj,9.323059,123.293274,,,,,,,,,,,,,
o,,,,,1, TGIF!, auramaria028,8.994966,124.886422,,,,,,,,,,,,,
c,,,,,1, Philippines, nekkaduhhh,10.390127,123.949606,,,,,,,,,,,,,
o,,,,,1," ""Jwuuu""      "," ""hazelfaelnar07",8.47425,124.657295,,,,,,,,,,,,,
c,,,,,1, Gutom., BaaaEron,10.329513,123.881004,,,,,,,,,,,,,
v,,,,,1, Tired., iilovecynthia,7.065786,125.602946,,,,,,,,,,,,,
c,,,,,1, jwu, kirsteeengail__,10.265131,123.845749,,,,,,,,,,,,,
c,,,,,1, Night!, syrilleee,10.433507,124.002814,,,,,,,,,,,,,
v,,,,,1, jwu, iamgedi,7.045515,125.527719,,,,,,,,,,,,,
o,,,,,1, Wlaaaaaa, hazelfaelnar07,8.473311,124.657606,,,,,,,,,,,,,
o,,,,,1, Goodnight, Shainafrancis,8.44725,124.644352,,,,,,,,,,,,,
c,,,,,1, @jinkybelanizo, imFAYIING,9.9491,123.398948,,,,,,,,,,,,,
d,,,,,1, Endless, clairerosillo07,9.313211,123.275857,,,,,,,,,,,,,
c,,,,,1, UNFAIR, wphalfweirdope,10.318986,123.908493,,,,,,,,,,,,,
o,,,,,1," ""#bitch"" "," ""andrea8211999",8.484668,124.664759,,,,,,,,,,,,,
